N,noise_std,seed,total_mc,peak_mc,peak_delay,r2_now
800,0.0,0,11.345140609052748,0.9369771583529246,1,0.9639813382511332
800,0.0,1,11.21745157959213,0.8911740354348405,1,0.9415933965278652
800,0.0,2,11.592126982194173,0.9333502706439026,1,0.9572039135355381
800,0.0,3,11.473889023654557,0.9214626960482792,1,0.9515351136116111
800,0.0,4,11.296727467898467,0.9190966701164553,1,0.9559346760534853
800,0.05,0,11.598063240690422,0.9404035503759773,1,0.953261348157513
800,0.05,1,11.470239646144895,0.91144368856637,1,0.9478637383831197
800,0.05,2,11.514704571828327,0.9306980093394454,1,0.9575417588604013
800,0.05,3,11.279484763220161,0.9008039827308533,1,0.9401724796335111
800,0.05,4,11.439105649957511,0.9209425870228752,1,0.9513745263659298
800,0.1,0,11.192574804917134,0.9053303134930911,1,0.9412559304144648
800,0.1,1,11.277558870831099,0.9093657183480777,1,0.9546300453444649
800,0.1,2,11.404675247932724,0.9246927492297872,1,0.9596897541299961
800,0.1,3,11.231089207242102,0.8831971305751851,1,0.9364470693249444
1600,0.0,0,21.19361156198404,0.9276414198627116,1,0.9645186921348036
1600,0.0,1,21.223340829933015,0.9318850859675737,1,0.9627998694037345
1600,0.0,2,21.186854503162404,0.921301598491117,1,0.9589368802026834
1600,0.0,3,21.321934995111555,0.9397717711091056,1,0.9671295421565013
1600,0.0,4,21.188955704357934,0.9280943917185516,1,0.9641919199567959
1600,0.05,0,21.18379581143884,0.932975391944613,1,0.9669867908227413
1600,0.05,1,21.162752555213817,0.92821202221343,1,0.9622482282769353
1600,0.05,2,21.115935207531326,0.9222032513877524,1,0.9562016223957543
1600,0.05,3,21.23674137130762,0.9472725477245836,1,0.9707495176553368
1600,0.05,4,21.23660459546883,0.9441315674924489,1,0.9701229124331967
1600,0.1,0,21.24560248339511,0.9435210950093957,1,0.9693032660292751

